iter	Passed	Remaining
0	54	54426
1	55	27511
2	55	18529
3	56	14039
4	57	11344
5	57	9536
6	58	8242
7	58	7277
8	59	6524
9	59	5920
10	60	5426
11	60	5016
12	61	4668
13	62	4378
14	62	4126
15	63	3900
16	63	3700
17	64	3522
18	65	3363
19	65	3219
20	66	3089
21	66	2971
22	67	2870
23	68	2774
24	68	2685
25	69	2602
26	70	2525
27	70	2457
28	71	2391
29	72	2330
30	72	2270
31	73	2214
32	73	2165
33	74	2120
34	75	2073
35	75	2030
36	76	1988
37	76	1948
38	77	1910
39	78	1874
40	78	1840
41	79	1808
42	79	1779
43	80	1750
44	81	1721
45	81	1693
46	82	1668
47	82	1644
48	83	1620
49	84	1597
50	84	1575
51	85	1556
52	86	1537
53	86	1517
54	87	1498
55	87	1480
56	88	1463
57	89	1446
58	89	1431
59	90	1418
60	91	1404
61	92	1392
62	92	1378
63	93	1363
64	93	1349
65	94	1336
66	95	1323
67	95	1310
68	96	1298
69	96	1286
70	97	1275
71	98	1265
72	98	1253
73	99	1242
74	99	1231
75	100	1221
76	101	1210
77	101	1201
78	102	1191
79	103	1188
80	104	1180
81	104	1173
82	105	1161
83	105	1152
84	106	1144
85	106	1135
86	107	1127
87	107	1118
88	108	1110
89	109	1103
90	109	1097
91	110	1090
92	111	1083
93	111	1076
94	112	1070
95	112	1063
96	113	1057
97	114	1051
98	114	1046
99	115	1040
100	116	1035
101	117	1030
102	117	1025
103	118	1019
104	118	1013
105	119	1007
106	120	1002
107	120	996
108	121	992
109	122	988
110	122	983
111	123	978
112	124	974
113	124	969
114	125	965
115	126	960
116	126	955
117	127	950
118	127	946
119	128	943
120	129	939
121	129	933
122	130	929
123	131	925
124	131	921
125	132	916
126	132	911
127	133	907
128	133	904
129	134	900
130	135	896
131	135	892
132	136	888
133	136	884
134	137	881
135	138	877
136	138	873
137	139	869
138	139	866
139	140	863
140	141	859
141	141	855
142	142	852
143	142	848
144	143	845
145	143	841
146	144	838
147	144	834
148	145	831
149	146	829
150	146	826
151	147	823
152	148	820
153	148	817
154	149	814
155	149	811
156	150	808
157	151	805
158	151	802
159	152	800
160	152	796
161	153	794
162	154	791
163	154	788
164	155	786
165	155	783
166	156	780
167	157	778
168	157	775
169	158	773
170	159	771
171	159	768
172	160	766
173	160	763
174	161	761
175	162	759
176	162	757
177	163	754
178	163	752
179	164	750
180	165	747
181	165	745
182	166	743
183	167	740
184	167	738
185	168	735
186	168	733
187	169	731
188	169	728
189	170	727
190	171	725
191	171	723
192	172	720
193	173	718
194	173	716
195	174	714
196	174	712
197	175	710
198	175	708
199	176	705
200	177	704
201	177	702
202	178	700
203	178	698
204	179	695
205	180	693
206	180	691
207	181	689
208	181	687
209	182	685
210	182	684
211	183	682
212	184	680
213	184	678
214	185	676
215	185	675
216	186	673
217	187	671
218	187	669
219	188	667
220	188	665
221	189	664
222	190	662
223	190	660
224	191	658
225	191	656
226	192	654
227	192	653
228	193	651
229	194	649
230	194	647
231	195	646
232	196	645
233	196	643
234	197	642
235	197	640
236	198	638
237	198	637
238	199	635
239	200	633
240	200	632
241	201	631
242	202	629
243	202	628
244	203	626
245	203	624
246	204	623
247	205	621
248	205	620
249	206	618
250	206	616
251	207	615
252	208	614
253	208	613
254	209	611
255	210	610
256	210	609
257	211	608
258	212	606
259	212	605
260	213	603
261	214	602
262	214	601
263	215	600
264	216	599
265	216	597
266	217	596
267	217	595
268	218	593
269	219	592
270	219	591
271	220	590
272	221	589
273	221	587
274	222	586
275	222	584
276	223	583
277	224	582
278	224	580
279	225	579
280	226	578
281	226	577
282	227	576
283	227	574
284	228	573
285	229	572
286	229	570
287	230	569
288	230	568
289	231	567
290	232	566
291	233	565
292	233	563
293	234	562
294	234	561
295	235	560
296	236	559
297	236	557
298	237	556
299	238	555
300	238	554
301	239	553
302	240	552
303	240	551
304	241	549
305	241	548
306	242	547
307	243	546
308	243	545
309	244	544
310	245	543
311	245	542
312	246	541
313	247	540
314	247	539
315	248	538
316	249	537
317	249	536
318	250	535
319	251	533
320	251	532
321	252	531
322	253	530
323	253	529
324	254	528
325	254	527
326	255	526
327	256	525
328	257	524
329	257	523
330	258	521
331	258	520
332	259	519
333	260	518
334	260	517
335	261	516
336	261	515
337	262	514
338	263	513
339	263	512
340	264	510
341	265	509
342	265	508
343	266	507
344	266	506
345	267	505
346	268	504
347	268	503
348	269	502
349	270	501
350	270	500
351	271	499
352	272	498
353	272	497
354	273	496
355	273	495
356	274	494
357	275	493
358	275	492
359	276	491
360	277	490
361	277	489
362	278	488
363	278	487
364	279	486
365	280	485
366	281	484
367	281	483
368	282	482
369	282	481
370	283	480
371	284	479
372	284	478
373	285	477
374	285	476
375	286	475
376	287	474
377	287	473
378	288	472
379	289	471
380	289	470
381	290	469
382	290	468
383	291	467
384	291	466
385	292	465
386	293	464
387	293	463
388	294	462
389	295	461
390	295	460
391	296	459
392	297	458
393	297	457
394	298	457
395	299	456
396	299	455
397	300	454
398	301	453
399	301	452
400	302	451
401	303	450
402	303	449
403	304	448
404	304	448
405	305	447
406	306	446
407	306	445
408	307	444
409	308	443
410	308	442
411	309	441
412	309	440
413	310	439
414	311	438
415	311	437
416	312	436
417	313	435
418	313	434
419	314	433
420	314	433
421	315	432
422	316	431
423	316	430
424	317	429
425	318	428
426	318	427
427	319	426
428	319	425
429	320	424
430	320	423
431	321	422
432	322	421
433	322	420
434	323	419
435	323	419
436	324	418
437	325	417
438	325	416
439	326	415
440	327	414
441	327	413
442	328	412
443	328	411
444	329	410
445	330	409
446	330	409
447	331	408
448	332	407
449	332	406
450	333	405
451	333	404
452	334	403
453	335	402
454	335	402
455	336	401
456	337	400
457	337	399
458	338	398
459	338	397
460	339	397
461	340	396
462	340	395
463	341	394
464	342	394
465	343	394
466	344	393
467	345	392
468	346	391
469	346	391
470	347	390
471	348	390
472	349	389
473	350	388
474	351	388
475	351	387
476	352	386
477	353	385
478	354	385
479	355	384
480	355	383
481	356	383
482	357	382
483	357	381
484	358	380
485	359	379
486	359	379
487	360	378
488	361	377
489	362	376
490	362	376
491	363	375
492	364	374
493	365	374
494	366	373
495	366	372
496	368	372
497	368	371
498	369	370
499	370	370
500	370	369
501	371	368
502	372	367
503	373	367
504	373	366
505	374	365
506	375	364
507	375	363
508	376	363
509	377	362
510	377	361
511	378	360
512	379	360
513	380	359
514	380	358
515	381	357
516	382	357
517	382	356
518	383	355
519	384	354
520	385	354
521	385	353
522	386	352
523	387	351
524	387	350
525	388	350
526	389	349
527	389	348
528	390	347
529	391	347
530	392	346
531	393	345
532	393	345
533	394	344
534	395	343
535	395	342
536	396	341
537	397	341
538	398	340
539	398	339
540	399	338
541	400	338
542	400	337
543	401	336
544	402	335
545	402	335
546	403	334
547	404	333
548	405	332
549	405	332
550	406	331
551	407	330
552	407	329
553	408	328
554	409	328
555	410	327
556	410	326
557	411	326
558	412	325
559	412	324
560	413	323
561	414	322
562	415	322
563	415	321
564	416	320
565	417	320
566	418	319
567	418	318
568	419	318
569	420	317
570	421	316
571	422	316
572	423	315
573	424	314
574	424	313
575	425	313
576	426	312
577	426	311
578	427	310
579	428	310
580	429	309
581	430	308
582	430	308
583	431	307
584	432	306
585	432	305
586	433	304
587	434	304
588	434	303
589	435	302
590	436	301
591	436	301
592	437	300
593	438	299
594	439	298
595	439	298
596	440	297
597	441	296
598	442	295
599	442	295
600	443	294
601	444	293
602	444	292
603	445	292
604	446	291
605	447	290
606	448	290
607	448	289
608	449	288
609	450	288
610	451	287
611	452	286
612	453	286
613	454	285
614	454	284
615	455	283
616	456	283
617	456	282
618	457	281
619	458	280
620	459	280
621	459	279
622	460	278
623	461	277
624	462	277
625	462	276
626	463	275
627	464	275
628	465	274
629	466	273
630	467	273
631	467	272
632	468	271
633	469	271
634	470	270
635	470	269
636	471	268
637	472	267
638	473	267
639	473	266
640	474	265
641	475	265
642	475	264
643	476	263
644	477	262
645	478	262
646	479	261
647	479	260
648	480	259
649	481	259
650	481	258
651	482	257
652	483	256
653	484	256
654	485	255
655	486	255
656	487	254
657	487	253
658	488	252
659	489	252
660	490	251
661	490	250
662	491	249
663	492	249
664	493	248
665	493	247
666	494	246
667	495	246
668	496	245
669	496	244
670	497	243
671	498	243
672	499	242
673	499	241
674	500	240
675	501	240
676	502	239
677	502	238
678	503	238
679	504	237
680	505	236
681	505	235
682	506	235
683	507	234
684	508	233
685	508	232
686	509	232
687	510	231
688	510	230
689	511	229
690	512	229
691	513	228
692	514	227
693	514	227
694	515	226
695	516	225
696	517	224
697	518	224
698	518	223
699	519	222
700	520	222
701	521	221
702	522	220
703	522	219
704	523	218
705	524	218
706	524	217
707	525	216
708	526	216
709	527	215
710	527	214
711	528	213
712	529	213
713	529	212
714	530	211
715	531	210
716	532	210
717	532	209
718	533	208
719	534	207
720	535	207
721	536	206
722	536	205
723	537	204
724	538	204
725	538	203
726	539	202
727	540	201
728	541	201
729	542	200
730	542	199
731	543	199
732	544	198
733	545	197
734	545	196
735	546	196
736	547	195
737	548	194
738	549	193
739	549	193
740	550	192
741	551	191
742	551	190
743	552	190
744	553	189
745	554	188
746	555	188
747	556	187
748	557	186
749	558	186
750	558	185
751	559	184
752	560	183
753	561	183
754	561	182
755	562	181
756	563	180
757	564	180
758	565	179
759	565	178
760	566	177
761	567	177
762	568	176
763	568	175
764	569	174
765	570	174
766	571	173
767	571	172
768	572	172
769	573	171
770	574	170
771	575	169
772	575	169
773	576	168
774	577	167
775	577	166
776	578	166
777	579	165
778	580	164
779	580	163
780	581	163
781	582	162
782	583	161
783	583	160
784	584	160
785	585	159
786	585	158
787	586	157
788	587	157
789	588	156
790	589	155
791	589	154
792	590	154
793	591	153
794	591	152
795	592	151
796	593	151
797	594	150
798	594	149
799	595	148
800	596	148
801	597	147
802	597	146
803	598	145
804	599	145
805	599	144
806	600	143
807	601	142
808	601	142
809	602	141
810	603	140
811	604	139
812	604	139
813	605	138
814	606	137
815	607	136
816	608	136
817	608	135
818	609	134
819	610	133
820	610	133
821	611	132
822	612	131
823	613	130
824	613	130
825	614	129
826	615	128
827	616	128
828	616	127
829	617	126
830	618	125
831	619	125
832	620	124
833	620	123
834	621	122
835	622	122
836	623	121
837	623	120
838	624	119
839	625	119
840	626	118
841	627	117
842	627	116
843	628	116
844	629	115
845	630	114
846	631	114
847	632	113
848	632	112
849	633	111
850	634	111
851	635	110
852	635	109
853	636	108
854	637	108
855	638	107
856	638	106
857	639	105
858	640	105
859	640	104
860	641	103
861	642	102
862	643	102
863	643	101
864	644	100
865	645	99
866	646	99
867	646	98
868	647	97
869	648	96
870	648	96
871	649	95
872	650	94
873	651	93
874	651	93
875	652	92
876	653	91
877	654	90
878	654	90
879	655	89
880	656	88
881	657	87
882	658	87
883	658	86
884	659	85
885	660	84
886	661	84
887	661	83
888	662	82
889	663	82
890	664	81
891	665	80
892	665	79
893	666	79
894	667	78
895	668	77
896	669	76
897	670	76
898	670	75
899	671	74
900	672	73
901	672	73
902	673	72
903	674	71
904	675	70
905	675	70
906	676	69
907	677	68
908	678	67
909	678	67
910	679	66
911	680	65
912	680	64
913	681	64
914	682	63
915	683	62
916	683	61
917	684	61
918	685	60
919	686	59
920	686	58
921	687	58
922	688	57
923	689	56
924	690	55
925	690	55
926	692	54
927	692	53
928	693	53
929	694	52
930	695	51
931	696	50
932	697	50
933	698	49
934	698	48
935	699	47
936	700	47
937	700	46
938	701	45
939	702	44
940	703	44
941	704	43
942	704	42
943	705	41
944	706	41
945	707	40
946	707	39
947	708	38
948	709	38
949	709	37
950	710	36
951	711	35
952	712	35
953	712	34
954	713	33
955	714	32
956	715	32
957	715	31
958	716	30
959	717	29
960	717	29
961	718	28
962	719	27
963	720	26
964	721	26
965	721	25
966	722	24
967	723	23
968	724	23
969	724	22
970	725	21
971	726	20
972	727	20
973	727	19
974	728	18
975	729	17
976	730	17
977	730	16
978	731	15
979	732	14
980	733	14
981	733	13
982	734	12
983	735	11
984	736	11
985	736	10
986	737	9
987	738	8
988	739	8
989	739	7
990	740	6
991	741	5
992	742	5
993	743	4
994	743	3
995	744	2
996	745	2
997	745	1
998	746	0
999	747	0
